(애)호박전,(ae)hobak-jeon
스팸구이,seupaemgu-i
시금치무침,sigeumchimuchim
시나몬롤,sinamonrol
시저샐러드,sijeosaelleodeu
식혜,sikhye
쌀국수,ssal-guksu
쌀밥,ssal-bab
쌈장,ssamjang
아구(귀)찜,agu(gwi)-jjim
아보카도비빔밥,abokadobibimbab
아스파라거스 볶음,aseupalageoseubokk-eum
알타리(총각)김치,altari-gimchi
알탕,altang
야끼소바,yakkisoba
야채볶음밥,yachaebokk-eumbab
야채죽,yachae-juk
야채튀김,yachaetwigim
약과,yakgwa
양꼬치,yang-kkochi
양념게장,yangnyeomgejang
양배추찜,yangbaechujjim
양파장아찌,yangpa-jangajji
어묵볶음,eomugbokk-eum
어묵탕,eomuk-tang
어탕국수,eo-tang-guksu
에그타르트,egeutareuteu
에비동,ebidong
연근조림,yeongeunjorim
연어샐러드,yeon-eosaelleodeu
연어스테이크,yeoneo-seuteikeu
연포탕,yeonpo-tang
열무국수,yeolmu-guksu
열무김치,yeolmugimchi
오꼬노미야끼,okkonomiyakki
오리구이,oli-gui
오므라이스,omeulaiseu
오믈렛빵,omeullesppang
오이,oi
오이냉국,oinaeng-gug
오이무침,oimuchim
오이소박이,oi-so-bagi
오이지무침,oijimuchim
오징어볶음,ojingeo-bokkeum
오징어구이,ojingeo-gui
오징어덮밥,ojingeo-deopbab
오징어순대,ojingeo-sundae
오징어젓갈,ojingeo-jeotgal
오징어초무침,ojing-eochomuchim
오징어튀김,ojing-eotwigim
와플,wapeul
완탕면,wantangmyeon
우거지국,ugeojigug
우나기동,unagidong
우동,udong
우엉조림,ueong-jorim
유과,yugwa
유부초밥,yubu-chobab
유자차,yuja-cha
육개장,yukgaejang
육사시미,yugsasimi
육포,yukpo
육회,yukhoe
육회비빔밥,yukhoe-bibimbab
인절미 빙수,injeolmibingsu
잔치국수,janchi-guksu
잡곡밥,jabgok-bab
잡채,jabchae
잡채덮밥,jabchae-deopbab
잣죽,jatjuk
장어구이,jangeo-gui
장조림,jang-jorim
전복구이,jeonbok-gui
전복죽,jeonbok-juk
전복회,jeonbokhoe
전어구이,jeoneo-gui
절편,jeolpyeon
제육덮밥,jeyuk-deopbab
제육볶음(돼지두루치기),jeyuk-bokkeum(dwaeji-duruchigi)
조개찜,jogaejjim
족발,jokbal
주먹밥,jumeok-bab
짜장면,jjajangmyeon
짜장밥,jjajangbap
짬뽕,jjamppong
쫄면,jjolmyeon
쭈꾸미삼겹살,jjukkumisamgyeobsal
찐만두,jjinmandu
찐빵,jjinppang
찜닭,jjim-dak
찰깨빵,chalkkaeppang
찹쌀떡,chapssaltteok
청경채무침,cheong-gyeongchaemuchim
청국장찌개,cheongguk-jang-jjigae
청포묵무침,cheongpomugmuchim
초밥,chobab
추어탕,chueo-tang
춘권,chungwon
치즈등갈비,cheese-deung-galbi
치즈케이크,chijeukeikeu
치킨,chikin
치킨너겟,chikinneoges
